Date,Cumulative Cases,New Cases
3-3,6,1
4-3,28,22
5-3,30,2
6-3,31,1
7-3,34,3
8-3,39,5
9-3,48,9
10-3,63,15
11-3,70,7
12-3,82,12
13-3,91,9
14-3,107,16
15-3,113,6
16-3,127,14
17-3,146,19
18-3,171,25
19-3,199,28
20-3,258,59
21-3,334,76
22-3,403,69
23-3,505,102
24-3,571,66
25-3,657,86
26-3,735,78
27-3,886,151
28-3,1029,143
29-3,1139,110
30-3,1347,208
31-3,1635,288
1-4,2010,379
2-4,2543,484
3-4,3105,560
4-4,3684,579
5-4,4289,605
6-4,4778,489
7-4,5351,573
8-4,5914,565
9-4,6727,813
10-4,7598,871
11-4,8452,854
12-4,9210,758
13-4,10453,1243
14-4,111481,1031
15-4,12370,886
16-4,13431,1061
17-4,14353,922
18-4,15724,1371
19-4,17304,1580

